id,grammarType,group,sentence,optionA,optionB,optionC,optionD,correct,infinitive,preteritum,meaning,translation,synonym,antonym
183,Perfekt (Partizip II),,Ich habe ihn sofort ______.,bekannt,ausgekannt,kennengelernt,erkannt,erkannt,erkennen,erkannte,nhận ra,Tôi đã nhận ra anh ấy ngay lập tức.,wahrnehmen,verkannt (đánh giá sai)
184,Perfekt (Partizip II),,Sie hat sich ein schönes Kleid ______.,besucht,abgesagt,versucht,ausgesucht,ausgesucht,aussuchen,suchte aus,lựa chọn,Cô ấy đã chọn cho mình một chiếc váy đẹp.,auswählen,
185,Perfekt (Partizip II),,Er ist mit dem Fahrrad schnell ______.,weggekommen,zurückgekommen,mitgekommen,vorgekommen,weggekommen,wegkommen,kam weg,"thoát khỏi, đi mất",Anh ấy đã nhanh chóng đi mất bằng xe đạp.,entkommen,
186,Perfekt (Partizip II),,Er ist letztes Jahr in eine andere Stadt ______ worden.,abgesetzt,versetzt,durchgesetzt,eingesetzt,versetzt,versetzen,versetzte,chuyển (công tác),Năm ngoái anh ấy đã bị chuyển công tác đến thành phố khác.,verlegen,
187,Perfekt (Partizip II),,Die Polizei hat mehrere Zeugen ______.,befragt,angefragt,nachgefragt,umgeschrieben,befragt,befragen,befragte,"phỏng vấn, hỏi ý kiến",Cảnh sát đã phỏng vấn nhiều nhân chứng.,interviewen,
188,Perfekt (Partizip II),,Der Redner wurde von einem Zuhörer ______.,unterbrochen,eingebrochen,abgebrochen,zerbrochen,unterbrochen,unterbrechen,unterbrach,ngắt lời; gián đoạn,Diễn giả đã bị một khán giả ngắt lời.,stoppen,fortgesetzt (tiếp tục)
189,Perfekt (Partizip II),,Sie hat in den letzten Monaten fünf Kilo ______.,zugenommen,abgenommen,mitgenommen,eingenommen,abgenommen,abnehmen,nahm ab,giảm cân; tháo ra,Trong vài tháng qua cô ấy đã giảm năm cân.,reduzieren,zugenommen (tăng cân)
190,Perfekt (Partizip II),,Der Kurs war leider schon ______.,belegt,ausgelegt,aufgelegt,angelegt,belegt,belegen,belegte,chứng minh; đăng ký khóa học,Tiếc là khóa học đã có người đăng ký hết chỗ.,nachweisen,
191,Perfekt (Partizip II),,Die beiden Themen sind eng miteinander ______.,eingebunden,losgebunden,angebunden,verbunden,verbunden,verbinden,verband,kết nối; băng bó,Hai chủ đề này có liên hệ chặt chẽ với nhau.,verknüpfen,getrennt (tách rời)
192,Perfekt (Partizip II),,Sie hat langsam und ruhig ______.,eingeatmet,ausgeatmet,mitgenommen,weggeschaut,ausgeatmet,ausatmen,atmete aus,thở ra,Cô ấy đã thở ra chậm rãi và bình tĩnh.,exhalieren,eingeatmet (hít vào)
193,Perfekt (Partizip II),,"Ich habe leider nicht ______, was er gesagt hat.",aufgestanden,entstanden,verstanden,angestanden,verstanden,verstehen,verstand,hiểu,Tiếc là tôi đã không hiểu điều anh ấy nói.,"begreifen, kapieren",missverstanden (hiểu lầm)
194,Perfekt (Partizip II),,Er hat seine Arbeit pflichtbewusst ______.,verrichtet,aufgerichtet,berichtet,ausgerichtet,verrichtet,verrichten,verrichtete,thực hiện (công việc),Anh ấy đã hoàn thành công việc một cách tận tâm.,erledigen,
195,Perfekt (Partizip II),,Er hat den alten Karton ______.,aufgeworfen,eingeworfen,angeworfen,weggeworfen,weggeworfen,wegwerfen,warf weg,vứt bỏ,Anh ấy đã vứt bỏ chiếc thùng carton cũ.,entsorgen,aufgehoben (giữ lại)
196,Perfekt (Partizip II),,Sie hat das Bild aus der Zeitung ______.,abgeschnitten,aufgeschnitten,zerschnitten,ausgeschnitten,ausgeschnitten,ausschneiden,schnitt aus,"cắt ra, cắt rời",Cô ấy đã cắt bức ảnh ra từ tờ báo.,herausschneiden,
197,Perfekt (Partizip II),,Der Wetterdienst hat Regen für morgen ______.,vorausgesagt,abgesagt,zugesagt,ausgesagt,vorausgesagt,voraussagen,sagte voraus,dự đoán,Đài khí tượng đã dự báo mưa cho ngày mai.,vorhersagen,
198,Perfekt (Partizip II),,Sie hat den Wasserhahn ______.,umgedreht,angedreht,verdreht,abgedreht,angedreht,andrehen,drehte an,"vặn (vòi, van) mở",Cô ấy đã vặn mở vòi nước.,aufdrehen,abgedreht (tắt vòi)
199,Perfekt (Partizip II),,Die Untersuchung wurde erfolgreich ______.,eingeführt,aufgeführt,durchgeführt,verführt,durchgeführt,durchführen,führte durch,thực hiện,Cuộc điều tra đã được tiến hành thành công.,ausführen,
200,Perfekt (Partizip II),,Wir haben unser Geld in Aktien ______.,aufgelegt,angelegt,verlegt,ausgelegt,angelegt,anlegen,legte an,đầu tư; lắp đặt,Chúng tôi đã đầu tư tiền vào cổ phiếu.,investieren,
201,Perfekt (Partizip II),,Die schlechte Nachricht hat mich sehr ______.,bedrückt,eingedrückt,ausgedrückt,unterdrückt,bedrückt,bedrücken,bedrückte,đè nặng (tâm lý),Tin xấu đó đã khiến tôi rất nặng lòng.,belasten,erleichtert (làm nhẹ nhõm)
202,Perfekt (Partizip II),,Der Zeuge hat vor Gericht die Wahrheit ______.,zugesagt,abgesagt,ausgesagt,vorausgesagt,ausgesagt,aussagen,sagte aus,khai báo,Nhân chứng đã khai sự thật trước tòa.,erklären,
203,Perfekt (Partizip II),,Das Spiel wurde live im Fernsehen ______.,betragen,ausgetragen,übertragen,vertragen,übertragen,übertragen,übertrug,truyền hình trực tiếp; chuyển giao,Trận đấu đã được truyền hình trực tiếp.,senden,
204,Perfekt (Partizip II),,"Ich habe es mehrmals ______, aber es hat nicht geklappt.",besucht,ausgesucht,versucht,eingekauft,versucht,versuchen,versuchte,"thử, cố gắng",Tôi đã thử nhiều lần nhưng không thành công.,probieren,aufgegeben (từ bỏ)
205,Perfekt (Partizip II),,Die Tür war fest ______.,verschlossen,ausgeschlossen,abgeschlossen,eingeschlossen,verschlossen,verschließen,verschloss,khóa lại,Cánh cửa đã bị khóa chặt.,zusperren,geöffnet (mở)
206,Perfekt (Partizip II),,Der Verkäufer hat drei Prozent vom Preis ______.,verzogen,angezogen,abgezogen,bezogen,abgezogen,abziehen,zog ab,rút đi; trừ đi,Người bán đã trừ ba phần trăm giá.,abrücken,hinzugefügt (thêm vào)
207,Perfekt (Partizip II),,Sie hat sich schnell an das neue Land ______.,aufgepasst,verpasst,vorgezeigt,angepasst,angepasst,anpassen,passte an,điều chỉnh cho phù hợp,Cô ấy đã nhanh chóng thích nghi với đất nước mới.,angleichen,
208,Perfekt (Partizip II),,Der Lehrer hat die Hefte am Ende der Stunde ______.,eingelaufen,besucht,versammelt,eingesammelt,eingesammelt,einsammeln,sammelte ein,thu gom lại,Thầy giáo đã thu vở lại vào cuối giờ học.,einholen,verteilt (phân phát)
209,Perfekt (Partizip II),,Die Kinder haben gestern lange ______.,angesehen,eingesehen,ferngesehen,ausgesehen,ferngesehen,fernsehen,sah fern,xem TV,Hôm qua bọn trẻ đã xem tivi rất lâu.,,
210,Perfekt (Partizip II),,Er ist aus dem Verein ______.,eingetreten,übertreten,betreten,ausgetreten,ausgetreten,austreten,trat aus,rút khỏi tổ chức,Anh ấy đã rút khỏi câu lạc bộ.,kündigen,beigetreten (gia nhập)
211,Perfekt (Partizip II),,Der Preis ist im Zimmerpreis schon ______.,abgeschlossen,beschlossen,verschlossen,eingeschlossen,eingeschlossen,einschließen,schloss ein,bao gồm; nhốt,Giá đó đã được bao gồm trong giá phòng.,enthalten,ausgeschlossen (loại trừ)
212,Perfekt (Partizip II),,Er hat sich mit seinen Entscheidungen die Zukunft selbst ______.,verbaut,eingebaut,bebaut,aufgebaut,verbaut,verbauen,verbaute,lắp đặt; che chắn,Anh ấy đã tự làm hỏng tương lai của mình bằng những quyết định đó.,blockieren,
213,Perfekt (Partizip II),,Das Theaterstück wurde letzte Woche ______.,durchgeführt,verführt,aufgeführt,eingeführt,aufgeführt,aufführen,führte auf,"biểu diễn, trình diễn",Vở kịch đã được trình diễn vào tuần trước.,vorführen,
214,Perfekt (Partizip II),,Ich habe mir die Telefonnummer schnell ______.,unterschrieben,verschrieben,beschrieben,aufgeschrieben,aufgeschrieben,aufschreiben,schrieb auf,"viết ra, ghi chú",Tôi đã nhanh chóng ghi lại số điện thoại.,notieren,
215,Perfekt (Partizip II),,Sie hat heute müde ______.,ausgesehen,zugesehen,versehen,eingesehen,ausgesehen,aussehen,sah aus,trông như,Hôm nay trông cô ấy có vẻ mệt mỏi.,wirken,
216,Perfekt (Partizip II),,Wir haben zwei Pizzen ______.,hergestellt,vorgestellt,dargestellt,bestellt,bestellt,bestellen,bestellte,đặt hàng,Chúng tôi đã đặt hai chiếc pizza.,ordern,storniert (hủy đặt hàng)
217,Perfekt (Partizip II),,Er hat schon immer ein großes Talent ______.,vorgelegen,unterlegen,besessen,verschrieben,besessen,besitzen,besaß,sở hữu,Anh ấy vốn luôn sở hữu một tài năng lớn.,haben,
218,Perfekt (Partizip II),,Der Kranke hat sich langsam ______.,ausgerichtet,eingerichtet,berichtet,aufgerichtet,aufgerichtet,aufrichten,richtete auf,dựng thẳng lên,Người bệnh đã từ từ ngồi dậy được.,aufstellen,
219,Perfekt (Partizip II),,Die Lehrerin hat die Bücher an alle Schüler ______.,verteilt,mitgeteilt,zerteilt,eingeteilt,verteilt,verteilen,verteilte,phân phát,Cô giáo đã phát sách cho tất cả học sinh.,austeilen,gesammelt (thu gom)
220,Perfekt (Partizip II),,Seit dem Unfall sind schon drei Jahre ______.,vergangen,zugegangen,weggegangen,eingegangen,vergangen,vergehen,verging,trôi qua (thời gian),Đã ba năm trôi qua kể từ vụ tai nạn.,verstreichen,
221,Perfekt (Partizip II),,Der Friseur hat mir die Haare kurz ______.,zerschnitten,ausgeschnitten,aufgeschnitten,abgeschnitten,abgeschnitten,abschneiden,schnitt ab,cắt bỏ; đạt kết quả (thi),Thợ cắt tóc đã cắt tóc tôi ngắn.,wegschneiden,wachsen gelassen (để mọc dài ra)
222,Perfekt (Partizip II),,Er hat die Regeln immer genau ______.,eingehalten,angehalten,verhalten,behalten,eingehalten,einhalten,hielt ein,tuân thủ,Anh ấy luôn tuân thủ nghiêm ngặt các quy tắc.,befolgen,gebrochen (vi phạm)
223,Perfekt (Partizip II),,Er hat sich schnell ______ und ist weggegangen.,umgedreht,verdreht,abgedreht,angedreht,umgedreht,umdrehen,drehte um,"xoay ngược lại, quay đầu",Anh ấy đã nhanh chóng quay người lại và bỏ đi.,wenden,
224,Perfekt (Partizip II),,Er hat endlich seinen Fehler ______.,versehen,eingesehen,ferngesehen,nachgesehen,eingesehen,einsehen,sah ein,"nhận ra, hiểu ra",Cuối cùng anh ấy đã nhận ra sai lầm của mình.,erkennen,
225,Perfekt (Partizip II),,Der Ballon ist langsam ______.,ausgestiegen,eingestiegen,bestiegen,aufgestiegen,aufgestiegen,aufsteigen,stieg auf,leo lên; thăng chức,Khinh khí cầu đã từ từ bay lên.,hochsteigen,abgestiegen (đi xuống/xuống hạng)
226,Perfekt (Partizip II),,Sein seltsames Verhalten ist mir sofort ______.,ausgefallen,aufgefallen,eingefallen,verfallen,aufgefallen,auffallen,fiel auf,gây chú ý,Hành vi kỳ lạ của anh ấy khiến tôi chú ý ngay.,bemerkbar sein,unbemerkt geblieben (không bị chú ý)
227,Perfekt (Partizip II),,So etwas ist mir noch nie ______.,vorgekommen,weggekommen,angekommen,zurückgekommen,vorgekommen,vorkommen,kam vor,xảy ra,Chuyện như thế này chưa từng xảy ra với tôi.,"passieren, geschehen",
228,Perfekt (Partizip II),,Die Gefahr konnte gerade noch ______ werden.,zugewendet,verwendet,angewendet,abgewendet,abgewendet,abwenden,wendete ab,ngăn chặn; quay đi,Mối nguy hiểm đã vừa kịp được ngăn chặn.,verhindern,verursacht (gây ra)
229,Perfekt (Partizip II),,Wir sind früh am Morgen zur Reise ______.,ausgebrochen,unterbrochen,aufgebrochen,abgebrochen,aufgebrochen,aufbrechen,brach auf,lên đường; cạy mở,Chúng tôi đã lên đường từ sáng sớm.,losgehen,angekommen (đến nơi)
230,Perfekt (Partizip II),,Der Fahrer hat den Motor kurz ______.,angefahren,verfahren,eingefahren,mitgefahren,angefahren,anfahren,fuhr an,khởi động xe; đâm vào,Tài xế đã khởi động động cơ một lát.,starten,abgestellt (tắt máy)
231,Perfekt (Partizip II),,Der Lehrer hat die Schüler zur Ruhe ______.,aufgerufen,angerufen,widerrufen,ausgerufen,aufgerufen,aufrufen,rief auf,kêu gọi; gọi tên,Thầy giáo đã kêu gọi học sinh giữ trật tự.,auffordern,
232,Perfekt (Partizip II),,Die Kinder haben sich warm ______.,aufgezogen,verzogen,abgezogen,angezogen,angezogen,anziehen,zog an,mặc quần áo,Bọn trẻ đã mặc quần áo ấm.,bekleiden,ausgezogen (cởi đồ)
233,Perfekt (Partizip II),,Zum Zeitpunkt der Entscheidung haben noch keine Beweise ______.,verlesen,besessen,vorgelegen,unterlegen,vorgelegen,vorliegen,lag vor,"có sẵn, tồn tại (hồ sơ)","Tại thời điểm ra quyết định, chưa có bằng chứng nào tồn tại.",existieren,gefehlt (thiếu)
234,Perfekt (Partizip II),,Die Schüler haben dem Lehrer aufmerksam ______.,abgehört,gehört,aufgehört,zugehört,zugehört,zuhören,hörte zu,lắng nghe,Học sinh đã lắng nghe thầy giáo một cách chăm chú.,lauschen,ignoriert (phớt lờ)
235,Perfekt (Partizip II),,Der Chef hat die Aufgabe schon ______.,aufgegeben,vergeben,angegeben,zugegeben,vergeben,vergeben,vergab,trao tặng; tha thứ,Sếp đã giao việc đó rồi.,verleihen,
236,Perfekt (Partizip II),,Der Journalist hat meine Worte in seinem Artikel ______.,angedreht,umgedreht,verdreht,abgedreht,verdreht,verdrehen,verdrehte,vặn xoắn; xuyên tạc,Nhà báo đã xuyên tạc lời nói của tôi trong bài viết.,verzerren,
237,Perfekt (Partizip II),,Der Fahrer hat die Geschwindigkeitsgrenze ______.,übertreten,aufgetreten,betreten,ausgetreten,übertreten,übertreten,übertrat,vi phạm / chuyển sang,Tài xế đã vi phạm giới hạn tốc độ.,verletzen,eingehalten (tuân thủ)
238,Perfekt (Partizip II),,Er hat den Raum leise ______.,aufgetreten,betreten,eingetreten,ausgetreten,betreten,betreten,betrat,bước vào,Anh ấy đã bước vào phòng một cách nhẹ nhàng.,hineingehen,verlassen (rời khỏi)
239,Perfekt (Partizip II),,Wir haben heute im Supermarkt ______.,verkauft,angeschlossen,eingekauft,abgekauft,eingekauft,einkaufen,kaufte ein,mua sắm,Hôm nay chúng tôi đã đi mua sắm ở siêu thị.,shoppen,
240,Perfekt (Partizip II),,Für dieses Projekt ist mehr Zeit ______.,vorgesehen,nachgesehen,eingesehen,zugesehen,vorgesehen,vorsehen,sah vor,dự định; đề phòng,Nhiều thời gian hơn đã được dự trù cho dự án này.,planen,
241,Perfekt (Partizip II),,Die Gurken wurden in Essig ______.,festgelegt,verlegt,belegt,eingelegt,eingelegt,einlegen,legte ein,đặt vào; ngâm thực phẩm,Dưa chuột đã được ngâm trong giấm.,einfügen,
242,Perfekt (Partizip II),,Für dieses Rezept wird viel Zucker ______.,abgewendet,angewendet,verwendet,zugewendet,verwendet,verwenden,verwendete,sử dụng,Công thức này cần dùng nhiều đường.,benutzen,
243,Perfekt (Partizip II),,Die beiden Kollegen haben sich nach dem Streit wieder gut ______.,vertragen,übertragen,betragen,ausgetragen,vertragen,vertragen,vertrug,chịu đựng được; hòa hợp,Hai đồng nghiệp đã hòa thuận trở lại sau cuộc cãi vã.,sich gut verstehen,gestritten (cãi nhau)
244,Perfekt (Partizip II),,Der Fremde hat mich auf der Straße ______.,ausgesprochen,angesprochen,versprochen,besprochen,angesprochen,ansprechen,sprach an,bắt chuyện; đề cập,Người lạ đã bắt chuyện với tôi trên đường.,anreden,ignoriert (phớt lờ)
245,Perfekt (Partizip II),,Die Information wurde sofort an alle ______.,weitergegeben,zurückgegeben,ausgegeben,eingegeben,weitergegeben,weitergeben,gab weiter,chuyển tiếp,Thông tin đã được chuyển tiếp ngay đến mọi người.,übermitteln,
246,Perfekt (Partizip II),,Die Großeltern haben die Enkelkinder ______.,bezogen,eingezogen,angezogen,aufgezogen,aufgezogen,aufziehen,zog auf,nuôi dạy; kéo lên,Ông bà đã nuôi dạy các cháu.,großziehen,
247,Perfekt (Partizip II),,Ich habe den Brief in den Briefkasten ______.,eingeworfen,vorgeworfen,abgeworfen,umgeworfen,eingeworfen,einwerfen,warf ein,bỏ vào hòm thư; chen vào,Tôi đã bỏ lá thư vào hòm thư.,einstecken,
248,Perfekt (Partizip II),,Der Bus hat an der Ampel ______.,unterhalten,eingehalten,angehalten,aufgehalten,angehalten,anhalten,hielt an,dừng lại,Xe buýt đã dừng lại ở đèn giao thông.,stoppen,weitergefahren (tiếp tục đi)
249,Perfekt (Partizip II),,Wir haben einen Termin für nächste Woche ______.,mitgemacht,zugemacht,angemacht,ausgemacht,ausgemacht,ausmachen,machte aus,tắt (đèn); thỏa thuận,Chúng tôi đã hẹn một cuộc gặp vào tuần sau.,ausschalten,angemacht (bật)
250,Perfekt (Partizip II),,Sie hat ihren neuen Freund ______.,hergestellt,vorgestellt,verstellt,bestellt,vorgestellt,vorstellen,stellte vor,giới thiệu,Cô ấy đã giới thiệu bạn trai mới của mình.,präsentieren,
251,Perfekt (Partizip II),,Die Kosten haben insgesamt tausend Euro ______.,betragen,ausgetragen,beigetragen,übertragen,betragen,betragen,betrug,có giá trị là (số tiền); cư xử,Tổng chi phí đã lên tới một nghìn euro.,ausmachen,
252,Perfekt (Partizip II),,Der Regen hat endlich ______.,angehört,zugehört,gehört,aufgehört,aufgehört,aufhören,hörte auf,dừng lại,Cuối cùng mưa cũng đã tạnh.,beenden,angefangen (bắt đầu)
253,Perfekt (Partizip II),,Der Fahrer hat mich vor dem Bahnhof ______.,versetzt,besetzt,abgesetzt,durchgesetzt,abgesetzt,absetzen,setzte ab,thả xuống; phế truất,Tài xế đã thả tôi xuống trước nhà ga.,hinstellen,abgeholt (đón)
254,Perfekt (Partizip II),,Ich habe ihm das Fahrrad günstig ______.,verkauft,angekommen,eingekauft,abgekauft,abgekauft,abkaufen,kaufte ab,mua lại (của ai),Tôi đã mua lại chiếc xe đạp của anh ấy với giá rẻ.,erwerben,verkauft (bán)
255,Perfekt (Partizip II),,Das Papier wurde in kleine Stücke ______.,ausgeschnitten,aufgeschnitten,abgeschnitten,zerschnitten,zerschnitten,zerschneiden,zerschnitt,cắt vụn,Tờ giấy đã bị cắt thành từng mảnh nhỏ.,zerteilen,zusammengefügt (ghép lại)
256,Perfekt (Partizip II),,Das Gebäude wird rund um die Uhr ______.,aufgewacht,aufgewachsen,bewacht,erwachsen,bewacht,bewachen,bewachte,canh gác,Tòa nhà được canh gác suốt ngày đêm.,beschützen,
257,Perfekt (Partizip II),,Ich habe die Information aus dem Internet ______.,aufgezogen,angezogen,bezogen,ausgezogen,bezogen,beziehen,bezog,chuyển đến; lấy (từ nguồn),Tôi đã lấy thông tin từ Internet.,einziehen,
258,Perfekt (Partizip II),,Er hat mir Hilfe ______.,angesprochen,versprochen,besprochen,abgesprochen,versprochen,versprechen,versprach,hứa,Anh ấy đã hứa giúp đỡ tôi.,zusagen,
259,Perfekt (Partizip II),,Er hat sein altes Auto ______.,ausgesehen,verkauft,abgekauft,eingekauft,verkauft,verkaufen,verkaufte,bán,Anh ấy đã bán chiếc xe cũ của mình.,veräußern,gekauft (mua)
260,Perfekt (Partizip II),,Die Firma hat neue Technologien ______.,aufgesetzt,eingesetzt,besetzt,fortgesetzt,eingesetzt,einsetzen,setzte ein,sử dụng; lắp vào,Công ty đã sử dụng các công nghệ mới.,verwenden,
261,Perfekt (Partizip II),,Sie ist ohne ein Wort ______.,aufgegangen,eingegangen,weggegangen,umgegangen,weggegangen,weggehen,ging weg,rời đi,Cô ấy đã bỏ đi mà không nói một lời.,verlassen,geblieben (ở lại)
262,Perfekt (Partizip II),,Wir sind letztes Jahr in eine neue Wohnung ______.,umgezogen,abgezogen,aufgezogen,eingezogen,umgezogen,umziehen,zog um,chuyển nhà; thay đồ,Năm ngoái chúng tôi đã chuyển đến căn hộ mới.,übersiedeln,geblieben (ở lại)
263,Perfekt (Partizip II),,Das Holz hat sich durch die Feuchtigkeit ______.,aufgezogen,verzogen,eingezogen,ausgezogen,verzogen,verziehen,verzog,chuyển nhà; biến dạng,Gỗ đã bị biến dạng do độ ẩm.,umziehen,
264,Perfekt (Partizip II),,Ich habe den Fernseher ______.,ausgeschaltet,umgeschaltet,eingeschaltet,vergangen,eingeschaltet,einschalten,schaltete ein,bật (thiết bị),Tôi đã bật tivi.,anmachen,ausgeschaltet (tắt)
265,Perfekt (Partizip II),,Letzte Nacht ist bei uns jemand ______.,unterbrochen,eingebrochen,zerbrochen,abgebrochen,eingebrochen,einbrechen,brach ein,đột nhập; sập xuống,Đêm qua ai đó đã đột nhập vào nhà chúng tôi.,eindringen,
266,Perfekt (Partizip II),,Das Treffen wurde auf nächste Woche ______.,verlegt,aufgelegt,ausgelegt,eingelegt,verlegt,verlegen,verlegte,dời đi; làm thất lạc,Buổi gặp mặt đã được dời sang tuần sau.,verschieben,
267,Perfekt (Partizip II),,Der Sänger ist gestern zum ersten Mal ______.,zurückgetreten,angetreten,eingetreten,aufgetreten,aufgetreten,auftreten,trat auf,xuất hiện; biểu diễn,Hôm qua ca sĩ đã biểu diễn lần đầu tiên.,erscheinen,verschwunden (biến mất)
268,Perfekt (Partizip II),,Alle Kinder haben bei dem Spiel ______.,mitgespielt,bestanden,vorgespielt,abgespielt,mitgespielt,mitspielen,spielte mit,"chơi cùng, tham gia",Tất cả bọn trẻ đã cùng chơi trò chơi đó.,teilnehmen,zugeschaut (đứng xem)
269,Perfekt (Partizip II),,Er hat das Gespräch plötzlich ______.,unterbrochen,zerbrochen,abgebrochen,eingebrochen,abgebrochen,abbrechen,brach ab,hủy bỏ; gãy,Anh ấy đột nhiên chấm dứt cuộc trò chuyện.,aufgeben,fortgesetzt (tiếp tục)
270,Perfekt (Partizip II),,Die neue Wohnung wurde schön ______.,berichtet,verrichtet,ausgerichtet,eingerichtet,eingerichtet,einrichten,richtete ein,trang bị nội thất; sắp đặt,Căn hộ mới đã được trang trí đẹp mắt.,ausstatten,
271,Perfekt (Partizip II),,Die Proteste wurden vom Militär ______.,ausgedrückt,bedrückt,unterdrückt,eingedrückt,unterdrückt,unterdrücken,unterdrückte,"đàn áp, kìm nén",Các cuộc biểu tình đã bị quân đội đàn áp.,bedrängen,gefördert (thúc đẩy/ủng hộ)
272,Perfekt (Partizip II),,Er hat seinen Fehler sofort ______.,vergeben,zugegeben,aufgegeben,ausgegeben,zugegeben,zugeben,gab zu,thừa nhận,Anh ấy đã thừa nhận lỗi của mình ngay lập tức.,gestehen,geleugnet (chối bỏ)
273,Perfekt (Partizip II),,Diese Methode ist offiziell nicht ______.,zugelassen,ausgelassen,losgelassen,verlassen,zugelassen,zulassen,ließ zu,cho phép,Phương pháp này chính thức không được cho phép.,erlauben,verboten (cấm)
274,Perfekt (Partizip II),,Das Team ist dieses Jahr in die zweite Liga ______.,ausgestiegen,abgestiegen,eingestiegen,aufgestiegen,abgestiegen,absteigen,stieg ab,xuống; xuống hạng,Năm nay đội bóng đã xuống hạng nhì.,hinuntersteigen,aufgestiegen (thăng hạng)
275,Perfekt (Partizip II),,Er hat sein Versprechen später ______.,aufgerufen,angerufen,ausgerufen,widerrufen,widerrufen,widerrufen,widerrief,rút lại (lời nói),Sau đó anh ấy đã rút lại lời hứa của mình.,zurücknehmen,bestätigt (xác nhận)
276,Perfekt (Partizip II),,Ich habe im Unterricht nicht gut ______.,aufgehalten,aufgepasst,verpasst,angepasst,aufgepasst,aufpassen,passte auf,"chú ý, trông chừng",Tôi đã không chú ý tốt trong giờ học.,achtgeben,
277,Perfekt (Partizip II),,Sie hat ihren Plan noch einmal ______.,bedacht,überdacht,nachgedacht,vorgespielt,überdacht,überdenken,überdachte,suy xét lại,Cô ấy đã suy xét lại kế hoạch của mình một lần nữa.,erneut überlegen,
278,Perfekt (Partizip II),,Ich habe das Geheimnis für mich ______.,eingehalten,abgehalten,verhalten,behalten,behalten,behalten,behielt,giữ lại,Tôi đã giữ bí mật cho riêng mình.,aufbewahren,weggegeben (cho đi)
279,Perfekt (Partizip II),,Das Flugzeug hat Hilfsgüter ______.,vorgeworfen,abgeworfen,aufgeworfen,verworfen,abgeworfen,abwerfen,warf ab,ném xuống; mang lại lợi nhuận,Máy bay đã thả hàng viện trợ xuống.,fallen lassen,
280,Perfekt (Partizip II),,Die Kinder haben ihre Geschenke sofort ______.,angepackt,weggeworfen,ausgepackt,eingepackt,ausgepackt,auspacken,packte aus,mở gói ra,Bọn trẻ đã mở quà ngay lập tức.,öffnen,eingepackt (đóng gói)
281,Perfekt (Partizip II),,Der Pullover ist beim Waschen ______.,zugegangen,aufgegangen,eingegangen,begangen,eingegangen,eingehen,ging ein,co lại; đi vào,Chiếc áo len đã bị co lại khi giặt.,schrumpfen,gedehnt (giãn ra)
282,Perfekt (Partizip II),,Ich habe das Formular vollständig ______.,eingefüllt,aufgeschnitten,erfüllt,ausgefüllt,ausgefüllt,ausfüllen,füllte aus,điền (biểu mẫu),Tôi đã điền đầy đủ vào biểu mẫu.,eintragen,
283,Perfekt (Partizip II),,"Wir haben ______, früher in den Urlaub zu fahren.",verschlossen,beschlossen,abgeschlossen,angeschlossen,beschlossen,beschließen,beschloss,quyết định,Chúng tôi đã quyết định đi nghỉ sớm hơn.,entscheiden,
284,Perfekt (Partizip II),,Er hat seinen Ausweis am Eingang ______.,angezeigt,vorgezeigt,verlaufen,aufgezeigt,vorgezeigt,vorzeigen,zeigte vor,"trình ra, xuất trình",Anh ấy đã xuất trình giấy tờ tùy thân ở lối vào.,präsentieren,versteckt (giấu đi)
285,Perfekt (Partizip II),,Sie hat den Text komplett ______.,beschrieben,aufgeschrieben,umgeschrieben,verschrieben,umgeschrieben,umschreiben,schrieb um,viết lại,Cô ấy đã viết lại toàn bộ văn bản.,neu formulieren,
286,Perfekt (Partizip II),,Wir sind in Frankfurt in einen anderen Zug ______.,ausgestiegen,bestiegen,abgestiegen,umgestiegen,umgestiegen,umsteigen,stieg um,đổi chuyến (tàu/xe),Chúng tôi đã đổi sang chuyến tàu khác ở Frankfurt.,wechseln,
287,Perfekt (Partizip II),,Die Familie ist gestern in das Haus ______.,verzogen,angezogen,eingezogen,umgezogen,eingezogen,einziehen,zog ein,chuyển vào (nhà),Gia đình đã chuyển vào nhà hôm qua.,einrücken,ausgezogen (chuyển ra)
288,Perfekt (Partizip II),,Die Veranstaltung ist gut ______.,abgelaufen,zugelaufen,angelaufen,verlaufen,verlaufen,verlaufen,verlief,diễn ra thế nào; đi lạc,Sự kiện đã diễn ra tốt đẹp.,geschehen,
289,Perfekt (Partizip II),,Die Mutter hat dem Kind eine Geschichte ______.,verlesen,durchgelesen,ausgelesen,vorgelesen,vorgelesen,vorlesen,las vor,đọc to cho nghe,Người mẹ đã đọc truyện cho con nghe.,rezitieren,
290,Perfekt (Partizip II),,Wir haben unsere Großeltern am Wochenende ______.,besucht,festgehalten,versucht,ausgesucht,besucht,besuchen,besuchte,thăm,Cuối tuần chúng tôi đã đi thăm ông bà.,aufsuchen,
291,Perfekt (Partizip II),,Diese Möbel werden in Deutschland ______.,bestellt,hergestellt,eingestellt,aufgestellt,hergestellt,herstellen,stellte her,sản xuất,Những món đồ nội thất này được sản xuất tại Đức.,produzieren,
292,Perfekt (Partizip II),,Wir haben viel Geld für das Hotel ______.,vergeben,ausgegeben,nachgegeben,angegeben,ausgegeben,ausgeben,gab aus,chi tiêu; phát ra,Chúng tôi đã chi rất nhiều tiền cho khách sạn.,bezahlen,gespart (tiết kiệm)
